	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16
-0.32201	-176.5658366	-176.4561773	-176.3467764	-176.2377379	-176.1292273	-176.0215292	-175.9151706	-175.8112356	-175.0220505	-174.9181158	-174.8117576	-174.70406	-174.59555	-174.4865118	-174.3771118	-174.2674532
-0.32101	-176.5635241	-176.4538694	-176.3444751	-176.2354456	-176.1269487	-176.0192722	-175.9129505	-175.8090862	-175.0242	-174.9203359	-174.8140146	-174.7063385	-174.5978421	-174.4888132	-174.3794196	-174.2697657
-0.32001	-176.5612117	-176.4515617	-176.3421739	-176.2331534	-176.1246704	-176.0170157	-175.9107316	-175.8069387	-175.0263474	-174.9225548	-174.8162709	-174.7086167	-174.6001342	-174.4911144	-174.3817271	-174.2720779
-0.31901	-176.5588995	-176.4492543	-176.3398728	-176.2308617	-176.1223925	-176.0147599	-175.9085135	-175.8047934	-175.0284927	-174.9247729	-174.8185269	-174.7108947	-174.602426	-174.4934155	-174.3840347	-174.2743901
-0.31801	-176.5565873	-176.4469468	-176.3375719	-176.2285702	-176.1201149	-176.0125046	-175.9062967	-175.8026503	-175.0306358	-174.9269897	-174.8207821	-174.7131723	-174.6047176	-174.4957163	-174.3863421	-174.2767024
-0.31701	-176.5542752	-176.4446395	-176.3352711	-176.2262789	-176.1178377	-176.0102499	-175.9040809	-175.8005093	-175.0327768	-174.9292055	-174.8230368	-174.7154494	-174.6070088	-174.498017	-174.3886494	-174.2790144
-0.31601	-176.5519631	-176.4423323	-176.3329706	-176.2239879	-176.1155608	-176.0079957	-175.9018662	-175.7983706	-175.0349155	-174.9314202	-174.8252909	-174.7177262	-174.6092998	-174.5003176	-174.3909565	-174.2813264
-0.31501	-176.5496513	-176.4400253	-176.3306704	-176.221697	-176.1132844	-176.0057425	-175.8996525	-175.7962344	-175.0370517	-174.9336339	-174.8275443	-174.7200027	-174.6115906	-174.502618	-174.3932637	-174.2836383
-0.31401	-176.5473395	-176.4377182	-176.3283701	-176.2194064	-176.1110085	-176.0034896	-175.8974401	-175.7941003	-175.0391858	-174.9358463	-174.8297971	-174.7222788	-174.6138813	-174.5049183	-174.3955707	-174.2859502
-0.31301	-176.5450278	-176.4354113	-176.3260699	-176.2171161	-176.1087327	-176.0012374	-175.8952287	-175.7919686	-175.0413175	-174.9380575	-174.8320493	-174.7245544	-174.6161715	-174.5072183	-174.3978774	-174.2882618
-0.31201	-176.5427162	-176.4331047	-176.3237701	-176.214826	-176.1064573	-175.9989858	-175.8930186	-175.7898393	-175.0434468	-174.9402678	-174.8343009	-174.7268297	-174.6184617	-174.509518	-174.400184	-174.2905734
-0.31101	-176.5404045	-176.4307982	-176.3214704	-176.2125362	-176.1041824	-175.9967349	-175.8908096	-175.7877124	-175.0455735	-174.9424767	-174.8365517	-174.7291046	-174.6207514	-174.5118178	-174.4024906	-174.2928851
-0.31001	-176.5380929	-176.4284917	-176.3191707	-176.2102465	-176.101908	-175.9944846	-175.8886019	-175.7855883	-175.0476978	-174.9446845	-174.8388019	-174.7313792	-174.6230411	-174.5141174	-174.4047972	-174.2951965
-0.30901	-176.5357817	-176.4261852	-176.3168714	-176.2079571	-176.0996339	-175.9922351	-175.8863953	-175.7834666	-175.0498196	-174.9468909	-174.8410516	-174.7336532	-174.6253303	-174.5164168	-174.4071036	-174.2975079
-0.30801	-176.5334705	-176.4238791	-176.3145722	-176.2056681	-176.0973602	-175.9899862	-175.8841899	-175.7813473	-175.0519389	-174.9490964	-174.8433006	-174.7359269	-174.6276195	-174.5187159	-174.4094097	-174.299819
-0.30701	-176.5311592	-176.4215729	-176.3122732	-176.2033793	-176.0950869	-175.9877379	-175.8819858	-175.7792306	-175.0540552	-174.9513004	-174.8455488	-174.7382002	-174.6299082	-174.5210149	-174.4117157	-174.3021303
-0.30601	-176.528848	-176.4192669	-176.3099743	-176.2010907	-176.0928138	-175.9854903	-175.8797831	-175.7771169	-175.0561692	-174.9535033	-174.8477962	-174.7404731	-174.6321967	-174.5233137	-174.4140217	-174.3044414
-0.30501	-176.5265371	-176.4169612	-176.3076756	-176.1988025	-176.0905413	-175.9832433	-175.8775815	-175.7750058	-175.0582802	-174.9557048	-174.8500432	-174.7427456	-174.6344851	-174.5256125	-174.4163277	-174.3067525
-0.30401	-176.5242262	-176.4146554	-176.3053772	-176.1965145	-176.0882693	-175.9809973	-175.8753813	-175.7728972	-175.0603887	-174.957905	-174.8522895	-174.7450177	-174.636773	-174.5279109	-174.4186333	-174.3090633
-0.30301	-176.5219152	-176.4123498	-176.3030789	-176.1942267	-176.0859978	-175.9787519	-175.8731823	-175.7707918	-175.0624943	-174.9601038	-174.8545348	-174.7472894	-174.6390607	-174.5302092	-174.4209388	-174.3113741
-0.30201	-176.5196045	-176.4100443	-176.3007808	-176.1919392	-176.0837265	-175.976507	-175.8709847	-175.7686891	-175.0645969	-174.9623016	-174.8567795	-174.7495605	-174.6413483	-174.5325073	-174.4232443	-174.3136848
-0.30101	-176.517294	-176.407739	-176.2984827	-176.1896519	-176.0814557	-175.974263	-175.8687887	-175.7665893	-175.0666966	-174.9644977	-174.8590235	-174.7518312	-174.6436354	-174.5348053	-174.4255498	-174.3159954
-0.30001	-176.5149834	-176.4054338	-176.296185	-176.187365	-176.0791853	-175.9720199	-175.8665937	-175.7644924	-175.0687936	-174.9666924	-174.8612668	-174.7541016	-174.6459223	-174.5371029	-174.4278549	-174.3183059
-0.29901	-176.5126729	-176.4031288	-176.2938874	-176.1850785	-176.0769154	-175.9697773	-175.8644003	-175.7623989	-175.0708874	-174.9688858	-174.8635093	-174.7563717	-174.6482091	-174.5394006	-174.4301599	-174.3206165
-0.29801	-176.5103627	-176.4008238	-176.2915902	-176.1827922	-176.0746459	-175.9675353	-175.8622083	-175.7603081	-175.0729779	-174.971078	-174.8657511	-174.7586411	-174.6504954	-174.5416979	-174.4324648	-174.3229268
-0.29701	-176.5080524	-176.398519	-176.2892929	-176.180506	-176.0723769	-175.9652945	-175.8600179	-175.7582205	-175.0750654	-174.9732686	-174.8679921	-174.7609101	-174.6527815	-174.5439951	-174.4347697	-174.3252369
-0.29601	-176.5057422	-176.3962144	-176.2869959	-176.1782201	-176.0701082	-175.9630541	-175.8578286	-175.7561362	-175.0771498	-174.9754575	-174.8702324	-174.7631787	-174.6550671	-174.5462921	-174.4370742	-174.3275471
-0.29501	-176.5034321	-176.3939098	-176.284699	-176.1759346	-176.0678402	-175.9608147	-175.855641	-175.7540551	-175.0792308	-174.9776451	-174.8724719	-174.7654468	-174.6573527	-174.548589	-174.4393788	-174.3298572
-0.29401	-176.5011221	-176.3916054	-176.2824025	-176.1736495	-176.0655724	-175.958576	-175.8534549	-175.7519774	-175.0813086	-174.9798314	-174.8747105	-174.7677145	-174.6596379	-174.5508855	-174.4416832	-174.332167
-0.29301	-176.4988123	-176.3893012	-176.2801061	-176.1713646	-176.0633053	-175.9563381	-175.8512704	-175.749903	-175.0833831	-174.982016	-174.8769484	-174.7699817	-174.6619229	-174.5531817	-174.4439875	-174.3344769
-0.29201	-176.4965026	-176.386997	-176.2778099	-176.1690798	-176.0610386	-175.9541011	-175.8490873	-175.747832	-175.0854539	-174.9841988	-174.8791855	-174.7722485	-174.6642074	-174.5554779	-174.4462916	-174.3367867
-0.29101	-176.494193	-176.384693	-176.2755139	-176.1667955	-176.0587722	-175.9518649	-175.8469057	-175.7457646	-175.0875214	-174.9863804	-174.8814217	-174.7745147	-174.6664919	-174.557774	-174.4485956	-174.3390964
-0.29001	-176.4918833	-176.3823892	-176.2732181	-176.1645116	-176.0565065	-175.9496293	-175.844726	-175.7437008	-175.0895852	-174.9885602	-174.8836571	-174.7767803	-174.6687759	-174.5600699	-174.4508993	-174.3414058
-0.28901	-176.489574	-176.3800855	-176.2709225	-176.162228	-176.0542412	-175.9473947	-175.8425477	-175.7416405	-175.0916454	-174.9907385	-174.8858917	-174.7790457	-174.6710595	-174.5623654	-174.4532031	-174.3437152
-0.28801	-176.4872645	-176.377782	-176.2686269	-176.1599443	-176.0519764	-175.9451612	-175.8403712	-175.7395841	-175.0937018	-174.992915	-174.8881253	-174.7813106	-174.6733428	-174.5646608	-174.4555065	-174.3460246
-0.28701	-176.4849554	-176.3754785	-176.2663317	-176.1576612	-176.049712	-175.9429282	-175.8381962	-175.7375315	-175.0957546	-174.99509	-174.8903583	-174.7835749	-174.675626	-174.566956	-174.45781	-174.3483339
-0.28601	-176.4826461	-176.3731752	-176.2640368	-176.1553785	-176.0474483	-175.9406963	-175.836023	-175.7354826	-175.0978035	-174.9972632	-174.8925902	-174.7858386	-174.6779088	-174.569251	-174.4601133	-174.3506429
-0.28501	-176.4803372	-176.3708721	-176.2617421	-176.1530961	-176.045185	-175.9384652	-175.8338515	-175.7334375	-175.0998483	-174.9994347	-174.8948213	-174.7881017	-174.6801913	-174.5715458	-174.4624165	-174.352952
-0.28401	-176.4780283	-176.3685691	-176.2594476	-176.1508138	-176.0429222	-175.936235	-175.831682	-175.7313967	-175.1018892	-175.0016042	-174.8970515	-174.7903645	-174.6824735	-174.5738404	-174.4647194	-174.355261
-0.28301	-176.4757194	-176.3662663	-176.2571532	-176.1485321	-176.0406601	-175.9340056	-175.8295139	-175.7293599	-175.103926	-175.0037721	-174.8992807	-174.7926269	-174.6847552	-174.5761346	-174.4670221	-174.3575697
