H_value	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16	lvl_17	lvl_18	lvl_19	lvl_20	lvl_21	lvl_22	lvl_23	lvl_24	lvl_25	lvl_26	
0.01000	-0.0344099235624	-0.0344099235624	-5.01308654646	-5.01308654642	5.01292853311	5.0129285331	0.0343649783705	0.0343649783705	-3.00325415931	-3.00325415916	3.00274814453	3.00274814447	-0.000433600595303	-0.000433600948824	0.000433600357597	0.000433600534474	-0.824068144626	-0.82406814469	0.824574159115	0.824574159246	-0.655568532695	-0.655568533033	0.655726546136	0.655726546107	4.49456918896e-05	4.49456918896e-05	
0.01500	-0.0516139610342	-0.0516139610342	-5.01312603671	-5.01312603706	5.01288901717	5.01288901685	0.0515465429447	0.0515465429447	-3.00338063025	-3.00338062983	3.00262160833	3.0026216084	-0.000650401093832	-0.000650401176839	0.000650400831179	0.000650401125822	-0.823941608	-0.823941608338	0.82470063002	0.824700630084	-0.655529017001	-0.655529016899	0.655766036691	0.655766036826	6.74184143161e-05	6.74184143161e-05	
0.02000	-0.068816888487	-0.068816888487	-5.0131655229	-5.01316552234	5.01284949648	5.0128494956	0.0687269962375	0.0687269962375	-3.0035070882	-3.00350708807	3.0024950589	3.0024950584	-0.000867201628138	-0.000867201568712	0.000867201453232	0.000867201238304	-0.8238150588	-0.823815058758	0.82482708798	0.824827088136	-0.655489496199	-0.655489496363	0.655805522584	0.655805522404	8.98914442447e-05	8.98914442447e-05	
0.02500	-0.0860183342227	-0.0860183342227	-5.01320500353	-5.01320500293	5.01280997008	5.0128099706	0.0859059702832	0.0859059702832	-3.00363353243	-3.00363353293	3.00236849617	3.00236849584	-0.00108400167118	-0.00108400146713	0.0010840020084	0.00108400152723	-0.823688496169	-0.823688496075	0.824953532565	0.824953532834	-0.655449970373	-0.655449970469	0.655845003243	0.65584500316	0.000112364319972	0.000112364319972	
0.03000	-0.103217931517	-0.103217931517	-5.01324447953	-5.01324447851	5.01277043925	5.01277043952	0.103083094218	0.103083094218	-3.00375996482	-3.00375996484	3.00224192073	3.00224192047	-0.00130080178572	-0.00130080199229	0.00130080215585	0.00130080211937	-0.823561920578	-0.823561920226	0.82507996458	0.82507996441	-0.655410439267	-0.655410439478	0.655884478846	0.655884479269	0.000134837009634	0.000134837009634	
0.03500	-0.120415309142	-0.120415309142	-5.01328394961	-5.01328395025	5.01273090326	5.01273090371	0.12025799875	0.12025799875	-3.00388638259	-3.00388638319	3.00211533178	3.00211533132	-0.00151760235287	-0.00151760242491	0.00151760254012	0.00151760242485	-0.82343533178	-0.823435331548	0.82520638316	0.825206383084	-0.655370903523	-0.655370903434	0.655923949705	0.655923949666	0.000157309933788	0.000157309933788	
0.04000	-0.137610098224	-0.137610098224	-5.01332341518	-5.01332341573	5.01269136222	5.0126913627	0.137430315028	0.137430315028	-3.00401278875	-3.00401278859	3.00198872947	3.0019887297	-0.00173440259046	-0.00173440263328	0.00173440294259	0.00173440248809	-0.823308729435	-0.823308729978	0.825332788493	0.825332788848	-0.655331362634	-0.655331362607	0.655963415309	0.655963415342	0.000179782762623	0.000179782762623	
0.04500	-0.154801929145	-0.154801929145	-5.01336287616	-5.01336287633	5.01265181719	5.0126518166	0.154599673541	0.154599673541	-3.00413918095	-3.00413918109	3.00186211459	3.00186211447	-0.00195120254455	-0.00195120256559	0.00195120282059	0.00195120265777	-0.823182114908	-0.823182114576	0.825459180776	0.825459181164	-0.65529181662	-0.655291816784	0.656002876335	0.656002876091	0.000202255526206	0.000202255526206	
0.05000	-0.171990435586	-0.171990435586	-5.01340233203	-5.01340233256	5.01261226584	5.0126122654	0.171765706001	0.171765706001	-3.00426556025	-3.00426556017	3.00173548676	3.00173548694	-0.00216800261916	-0.00216800313127	0.00216800287405	0.00216800278899	-0.823055486954	-0.823055486777	0.825585560512	0.825585560109	-0.655252265903	-0.655252265568	0.656042331947	0.656042331804	0.000224728617213	0.000224728617213	
0.05500	-0.189175245985	-0.189175245985	-5.01344178235	-5.01344178308	5.01257270931	5.01257270971	0.188928044576	0.188928044576	-3.00439192681	-3.00439192706	3.00160884547	3.00160884567	-0.00238480331513	-0.00238480313123	0.00238480331861	0.00238480301896	-0.822928845518	-0.822928845632	0.825711926657	0.825711926643	-0.655212709712	-0.655212709901	0.65608178277	0.656081782608	0.00024720135832	0.00024720135832	
