lvl_1  k2 k1 k0
H: -0.13001 -0.1714286 2.2334994 -175.8310861
H: -0.12901 -0.2000000 2.2259960 -175.8315787
H: -0.12801 -0.1857143 2.2297306 -175.8313347
H: -0.12701 -0.1642857 2.2352810 -175.8309753
H: -0.12601 -0.1785714 2.2315921 -175.8312134
H: -0.12501 -0.1928571 2.2279604 -175.8314442
H: -0.12401 -0.1928571 2.2279661 -175.8314435
H: -0.12301 -0.1714286 2.2333394 -175.8311067
H: -0.12201 -0.1928571 2.2279976 -175.8314395
H: -0.12101 -0.1928571 2.2280033 -175.8314388
H: -0.12001 -0.2071429 2.2245030 -175.8316532
H: -0.11901 -0.1928571 2.2279747 -175.8314423
H: -0.11801 -0.1928571 2.2279804 -175.8314416
H: -0.11701 -0.2000000 2.2262560 -175.8315457
H: -0.11601 -0.2071429 2.2245801 -175.8316440
H: -0.11501 -0.2071429 2.2245744 -175.8316446
H: -0.11401 -0.1928571 2.2279033 -175.8314507
H: -0.11301 -0.2071429 2.2246030 -175.8316413
H: -0.11201 -0.2214286 2.2213199 -175.8318299
H: -0.11101 -0.2214286 2.2213427 -175.8318274
H: -0.11001 -0.2071429 2.2245459 -175.8316478
H: -0.10901 -0.2071429 2.2245401 -175.8316485
H: -0.10801 -0.2285714 2.2198097 -175.8319095
H: -0.10701 -0.2214286 2.2213741 -175.8318238
H: -0.10601 -0.2285714 2.2198240 -175.8319079
H: -0.10501 -0.2214286 2.2213599 -175.8318254
H: -0.10401 -0.2285714 2.2198383 -175.8319064
H: -0.10301 -0.2357143 2.2183253 -175.8319865
H: -0.10201 -0.2357143 2.2183367 -175.8319853
H: -0.10101 -0.2285714 2.2198097 -175.8319094
H: -0.10001 -0.2357143 2.2183396 -175.8319850
H: -0.09901 -0.2500000 2.2154450 -175.8321316
H: -0.09801 -0.2500000 2.2154450 -175.8321316
H: -0.09701 -0.2500000 2.2154450 -175.8321316
H: -0.09601 -0.2357143 2.2182653 -175.8319925
H: -0.09501 -0.2428572 2.2168609 -175.8320615
H: -0.09401 -0.2571429 2.2141034 -175.8321945
H: -0.09301 -0.2642857 2.2127504 -175.8322586
H: -0.09201 -0.2642857 2.2127390 -175.8322597
H: -0.09101 -0.2714286 2.2114089 -175.8323216
H: -0.09001 -0.2642857 2.2127361 -175.8322599
H: -0.08901 -0.2500000 2.2153450 -175.8321408
H: -0.08801 -0.2642857 2.2127533 -175.8322584
H: -0.08701 -0.2857143 2.2089171 -175.8324300
H: -0.08601 -0.2857143 2.2089286 -175.8324290
H: -0.08501 -0.2785714 2.2101730 -175.8323748
H: -0.08401 -0.2857143 2.2089314 -175.8324288
H: -0.08301 -0.2857143 2.2089429 -175.8324278
H: -0.08201 -0.2785714 2.2101444 -175.8323773
H: -0.08101 -0.3000000 2.2065540 -175.8325277
H: -0.08001 -0.3071429 2.2053924 -175.8325749
H: -0.07901 -0.2928571 2.2077213 -175.8324800
H: -0.07801 -0.3000000 2.2065540 -175.8325276
H: -0.07701 -0.3071429 2.2054353 -175.8325714
H: -0.07601 -0.3071429 2.2054296 -175.8325719
H: -0.07501 -0.3214286 2.2032036 -175.8326586
H: -0.07401 -0.3214286 2.2032264 -175.8326568
H: -0.07301 -0.3214286 2.2032093 -175.8326581
H: -0.07201 -0.3142857 2.2042794 -175.8326180
H: -0.07101 -0.3357143 2.2011290 -175.8327338
H: -0.07001 -0.3285714 2.2021591 -175.8326967
H: -0.06901 -0.3428571 2.2001274 -175.8327689
H: -0.06801 -0.3357143 2.2011233 -175.8327342
H: -0.06701 -0.3500000 2.1991430 -175.8328028
H: -0.06601 -0.3500000 2.1991430 -175.8328028
H: -0.06501 -0.3500000 2.1991430 -175.8328028
H: -0.06401 -0.3642857 2.1972370 -175.8328664
H: -0.06301 -0.3571429 2.1981843 -175.8328350
H: -0.06201 -0.3714286 2.1963297 -175.8328951
H: -0.06101 -0.3642857 2.1972427 -175.8328660
H: -0.06001 -0.3714286 2.1963554 -175.8328935
H: -0.05901 -0.3714286 2.1963383 -175.8328946
H: -0.05801 -0.4000000 2.1928920 -175.8329985
H: -0.05701 -0.4000000 2.1928920 -175.8329985
H: -0.05601 -0.3857143 2.1945694 -175.8329492
H: -0.05501 -0.3928571 2.1937364 -175.8329735
H: -0.05401 -0.4071429 2.1921219 -175.8330191
H: -0.05301 -0.4142857 2.1913403 -175.8330405
H: -0.05201 -0.4000000 2.1928920 -175.8329984
H: -0.05101 -0.4142857 2.1913574 -175.8330396
H: -0.05001 -0.4357143 2.1891070 -175.8330986
H: -0.04901 -0.4357143 2.1891184 -175.8330980
H: -0.04801 -0.4285714 2.1898343 -175.8330801
H: -0.04701 -0.4357143 2.1891213 -175.8330979
H: -0.04601 -0.4642857 2.1863493 -175.8331651
H: -0.04501 -0.4571429 2.1870394 -175.8331484
H: -0.04401 -0.4428571 2.1883683 -175.8331176
H: -0.04301 -0.4500000 2.1877010 -175.8331331
H: -0.04201 -0.4857143 2.1845274 -175.8332036
H: -0.04101 -0.4857143 2.1845389 -175.8332031
H: -0.04001 -0.4785714 2.1851404 -175.8331904
H: -0.03901 -0.4857143 2.1845417 -175.8332030
H: -0.03801 -0.5000000 2.1833900 -175.8332262
H: -0.03701 -0.5000000 2.1833900 -175.8332262
H: -0.03601 -0.5142857 2.1822840 -175.8332476
H: -0.03501 -0.5071428 2.1828313 -175.8332371
H: -0.03401 -0.5214286 2.1817767 -175.8332565
H: -0.03301 -0.5285714 2.1812694 -175.8332655
H: -0.03201 -0.5428571 2.1802949 -175.8332821
H: -0.03101 -0.5357143 2.1807621 -175.8332745
H: -0.03001 -0.5642857 2.1789044 -175.8333047
H: -0.02901 -0.5714286 2.1784600 -175.8333116
H: -0.02801 -0.5642857 2.1789016 -175.8333048
H: -0.02701 -0.5642857 2.1788901 -175.8333051
H: -0.02601 -0.5714286 2.1784886 -175.8333107
H: -0.02501 -0.5928572 2.1773039 -175.8333271
H: -0.02401 -0.6071428 2.1765464 -175.8333371
H: -0.02301 -0.6142857 2.1761934 -175.8333415
H: -0.02201 -0.6142857 2.1761820 -175.8333417
H: -0.02101 -0.6214286 2.1758519 -175.8333455
H: -0.02001 -0.6428571 2.1748814 -175.8333565
H: -0.01901 -0.6428571 2.1748871 -175.8333564
H: -0.01801 -0.6571429 2.1743011 -175.8333624
H: -0.01701 -0.6571429 2.1742954 -175.8333625
H: -0.01601 -0.6642857 2.1740424 -175.8333647
H: -0.01501 -0.6785714 2.1735250 -175.8333694
H: -0.01401 -0.6928571 2.1730647 -175.8333731
H: -0.01301 -0.7071428 2.1726216 -175.8333765
H: -0.01201 -0.7214286 2.1721956 -175.8333797
H: -0.01101 -0.7214286 2.1722184 -175.8333793
H: -0.01001 -0.7214286 2.1722013 -175.8333796
H: -0.00901 -0.7428571 2.1717023 -175.8333824
H: -0.00801 -0.7785714 2.1709630 -175.8333862
H: -0.00701 -0.7571429 2.1713763 -175.8333843
H: -0.00601 -0.7714286 2.1711217 -175.8333854
H: -0.00501 -0.7928572 2.1707941 -175.8333866
H: -0.00401 -0.8142857 2.1705323 -175.8333874
H: -0.00301 -0.8142857 2.1705209 -175.8333874
H: -0.00201 -0.8214286 2.1704621 -175.8333876
H: -0.00101 -0.8428572 2.1703060 -175.8333878
H: -1e-05 -0.8428571 2.1703117 -175.8333878
H: 0.00099 -0.8714285 2.1702197 -175.8333878
H: 0.00199 -0.8785714 2.1702124 -175.8333878
H: 0.00299 -0.9071429 2.1702461 -175.8333878
H: 0.00399 -0.9071429 2.1702404 -175.8333878
H: 0.00499 -0.9285714 2.1703529 -175.8333879
H: 0.00599 -0.9214286 2.1703030 -175.8333879
H: 0.00699 -0.9571428 2.1706123 -175.8333885
H: 0.00799 -0.9642857 2.1707021 -175.8333888
H: 0.00899 -0.9857143 2.1709803 -175.8333896
H: 0.00999 -1.0071429 2.1712841 -175.8333907
H: 0.01099 -1.0214286 2.1715553 -175.8333919
H: 0.01199 -1.0214286 2.1715381 -175.8333918
H: 0.01299 -1.0571429 2.1722760 -175.8333956
H: 0.01399 -1.0857143 2.1729554 -175.8333996
H: 0.01499 -1.0785714 2.1727713 -175.8333984
H: 0.01599 -1.0857143 2.1729583 -175.8333996
H: 0.01699 -1.1142857 2.1737863 -175.8334056
H: 0.01799 -1.1500000 2.1748870 -175.8334140
H: 0.01899 -1.1714286 2.1756051 -175.8334200
H: 0.01999 -1.1785714 2.1758550 -175.8334222
H: 0.02099 -1.2000000 2.1766360 -175.8334293
H: 0.02199 -1.2214286 2.1774827 -175.8334376
H: 0.02299 -1.2428571 2.1783551 -175.8334465
H: 0.02399 -1.2571429 2.1789691 -175.8334531
H: 0.02499 -1.2928571 2.1805756 -175.8334711
H: 0.02599 -1.3071429 2.1812467 -175.8334789
H: 0.02699 -1.3285714 2.1823020 -175.8334919
H: 0.02799 -1.3500000 2.1833830 -175.8335055
H: 0.02899 -1.3857143 2.1852809 -175.8335307
H: 0.02999 -1.4142857 2.1868517 -175.8335523
H: 0.03099 -1.4214286 2.1872644 -175.8335582
H: 0.03199 -1.4571429 2.1893594 -175.8335889
H: 0.03299 -1.4785714 2.1906719 -175.8336090
H: 0.03399 -1.5071429 2.1924770 -175.8336375
H: 0.03499 -1.5214286 2.1933939 -175.8336521
H: 0.03599 -1.5785714 2.1972213 -175.8337162
H: 0.03699 -1.5928571 2.1982181 -175.8337336
H: 0.03799 -1.6214286 2.2002404 -175.8337693
H: 0.03899 -1.6428571 2.2017986 -175.8337976
H: 0.03999 -1.6928571 2.2055533 -175.8338680
H: 0.04099 -1.7071429 2.2066530 -175.8338892
H: 0.04199 -1.7428571 2.2094737 -175.8339449
H: 0.04299 -1.7857143 2.2129329 -175.8340146
H: 0.04399 -1.8214286 2.2159136 -175.8340768
H: 0.04499 -1.8428571 2.2177289 -175.8341152
H: 0.04599 -1.8857143 2.2214451 -175.8341957
H: 0.04699 -1.9214286 2.2246401 -175.8342671
H: 0.04799 -1.9571429 2.2278780 -175.8343405
H: 0.04899 -1.9928571 2.2311987 -175.8344176
H: 0.04999 -2.0428571 2.2359534 -175.8345306
H: 0.05099 -2.0714286 2.2387186 -175.8345975
H: 0.05199 -2.1142857 2.2429663 -175.8347027
H: 0.05299 -2.1500000 2.2465670 -175.8347934
H: 0.05399 -2.2000000 2.2517160 -175.8349259
H: 0.05499 -2.2500000 2.2569650 -175.8350636
H: 0.05599 -2.2857143 2.2607914 -175.8351661
H: 0.05699 -2.3285714 2.2654563 -175.8352930
H: 0.05799 -2.3857143 2.2717923 -175.8354685
H: 0.05899 -2.4357143 2.2774527 -175.8356287
H: 0.05999 -2.4785714 2.2823747 -175.8357700
